PROJECT_NAME,LATITUDE,LONGITUDE
BAYOU RESIDENCE,1.34634088,103.88025340000002
BAYSHORE PARK,1.311423024,103.9366607
BAYVILLE CONDOMINIUM,1.281355779,103.7877157
BAYWATER,1.3373063029999999,103.9325682
BEACON HEIGHTS,1.326714535,103.86225490000001
BEAU VISTA,1.325370808,103.9127396
BEAUFORT ON NASSIM,1.3086028490000001,103.82462629999999
BEAUTY GARDEN,1.362002076,103.74866970000001
BEAVERTON COURT,1.316107929,103.7762055
BEDOK COURT,1.321987818,103.9451682
BEDOK GROVE,1.325256132,103.95315459999999
BEDOK PESARI,1.325319304,103.9547692
BEDOK RESIDENCES,1.324766361,103.9292679
BEDOK RIA,1.326723467,103.9526582
BEDOKVILLE,1.323682017,103.9477893
BEECHWOOD TERRACE,1.42680606,103.77824659999999
BELGRAVIA GREEN,1.380293961,103.8644532
BELGRAVIA PARK,1.3818969140000001,103.86945870000001
BELGRAVIA VILLAS,1.3801042680000002,103.8656293
BELLA CASITA,1.311826784,103.8947778
BELLA VISTA,1.344145647,103.87038000000001
BELLE VUE RESIDENCES,1.296163055,103.8422701
BELLERIVE,1.317025705,103.8305557
BELLEWATERS,1.399549025,103.8908437
BELLEWOODS,1.432160347,103.8007815
BELLEZZA @ KATONG,1.306926883,103.9020276
BELMOND GREEN,1.315559778,103.8316405
BELMONDO VIEW,1.323257119,103.851224
BELYSA,1.3738259609999999,103.9411912
BERKELEY RESIDENCES,1.309603745,103.9092442
BEVERLY HILL,1.298677262,103.82559659999998
BIJOU,1.276853016,103.7917254
BIN TONG PARK,1.3194244240000002,103.7971323
BINJAI CREST,1.344313135,103.78810870000001
BINJAI PARK,1.340420102,103.7874746
BIRMINGHAM MANSIONS,1.3177054609999999,103.8448865
BISHAN 8,1.34950498,103.8469603
BISHAN LOFT,1.347306941,103.85241490000001
BISHAN PARK CONDOMINIUM,1.3659161569999998,103.8314208
BISHAN POINT,1.3596538480000002,103.8326373
BISHOPSGATE RESIDENCES,1.298365848,103.824363
BLEU @ EAST COAST,1.3158365840000001,103.9450188
BLISS LOFT,1.323239246,103.852928
BLISS RESIDENCES,1.320118069,103.9120752
BLISS VILLE,1.323745129,103.9091574
BLISS@KOVAN,1.362920261,103.88353520000001
BLOSSOM GARDENS,1.3451982219999998,103.8762455
BLOSSOM MANSIONS,1.315435329,103.8893485
BLOSSOM RESIDENCES,1.3896497190000001,103.76996190000001
BLOSSOM VIEW,1.3116431590000002,103.88505699999999
BLOSSOMS @ WOODLEIGH,1.336369747,103.86879240000002
BLU CORAL,1.313055984,103.91431659999999
BLUE HORIZON,1.29727003,103.7651782
BLUWATERS,1.3798941530000002,103.9630541
BLUWATERS 2,1.379976725,103.9639311
BOATHOUSE RESIDENCES,1.375771625,103.90286309999999
BOON COURT,1.3155344340000001,103.9054204
BOON TECK TOWER,1.327786805,103.8502037
BOONVIEW,1.351633351,103.84107309999999
BOTANIC GARDENS MANSION,1.308100499,103.81965579999999
BOTANIC GARDENS VIEW,1.308686351,103.81925030000001
BOTANIKA,1.3099181579999999,103.80798100000001
BOTANIQUE AT BARTLEY,1.342223996,103.882727
BOTANNIA,1.318287006,103.753798
BOUGAINVILLA APARTMENTS,1.3134834,103.8795944
BOULEVARD 88,1.3050989309999999,103.82757240000001
BOULEVARD VUE,1.3031097440000001,103.8290355
BOURNEMOUTH EIGHT,1.301947526,103.8912671
BRADDELL HEIGHTS ESTATE,1.346634724,103.86188119999998
BRADDELL VIEW,1.341612713,103.8411508
BREEZE BY THE EAST,1.313793594,103.93766640000001
BREEZY MANSIONS,1.3622452919999999,103.8780167
BRISTOL LODGE,1.313664181,103.84952
BUCKLEY 18,1.31812935,103.84095909999999
BUCKLEY CLASSIQUE,1.3180903590000002,103.8401869
BUCKLEY RESIDENCE,1.3172248579999999,103.840519
BUKIT 828,1.373834519,103.7631305
BUKIT REGENCY,1.346571358,103.7710671
BULLION PARK,1.39142102,103.83619709999999
BUONA LODGE,1.281744733,103.7867699
BUONA VISTA GARDENS,1.282851601,103.7866571
BURGHLEY DRIVE,1.3582136830000002,103.8627834
BURGUNDY HILL,1.3405368950000005,103.76088990000001
BUTTERWORTH 33,1.312768473,103.89565759999999
BUTTERWORTH 8,1.3120593440000001,103.8950286
BUTTERWORTH VIEW,1.312695187,103.89527559999999
CABANA,1.388106429,103.8550742
CACTUS GREEN,1.391894617,103.8526274
CADENCE LIGHT,1.312490255,103.9109996
CAIFU VIEW,1.3491689690000002,103.8815199
CAIRNHILL ASTORIA,1.306964118,103.8395709
CAIRNHILL CREST,1.305446169,103.8384371
CAIRNHILL NINE,1.303716521,103.8372492
CAIRNHILL PLAZA,1.306513638,103.8368926
CAIRNHILL RESIDENCES,1.307924397,103.8389212
CALARASI,1.3237516740000002,103.8543482
CALDECOTT HILL ESTATE,1.3361129379999999,103.83349609999999
CALLIDORA VILLE,1.309694995,103.9097546
CAMBIO SUITES,1.35510387,103.8763377
CAMBRIDGE VILLAGE,1.3132711320000001,103.847302
CAMELIA PARK,1.388462725,103.8599691
CAMELLIA LODGE,1.31553631,103.8864574
CAMELOT BY-THE-WATER,1.2976086279999999,103.8756258
CAMWOOD PARK,1.314793174,103.81145500000001
CANARY PARK,1.33317896,103.94629309999999
CANARY VILLE,1.314510128,103.91448890000001
CANBERLIN LODGE,1.309310155,103.87694690000001
CANBERRA RESIDENCES,1.4446630280000001,103.8247511
CANDEVILLE,1.310897555,103.910663
CANNE LODGE,1.314180072,103.87329620000001
CANTIZ @ RAMBAI,1.310885233,103.90586440000001
CAPITOL PARK,1.3267315240000002,103.8161068
CARABELLE,1.317722028,103.7560735
CARDIFF RESIDENCE,1.355107095,103.86600990000001
CARIBBEAN AT KEPPEL BAY,1.266481065,103.8151282
CARISSA PARK CONDOMINIUM,1.359147567,103.96355150000001
CARLYX GREEN,1.313192491,103.8477946
CARLYX RESIDENCE,1.3132949520000001,103.8479421
CARPMAEL THIRTY-EIGHT,1.313168182,103.8978115
CASA AERATA,1.312332942,103.8851144
CASA AL MARE,1.3778488709999999,103.9570709
CASA AROMA,1.313705053,103.9061561
CASA CAIRNHILL,1.308161234,103.83955879999999
CASA CAMBIO,1.3539166619999998,103.8763222
CASA EMERALD,1.3121290490000002,103.887226
CASA ESPANIA,1.344835499,103.87517079999999
CASA ESPERANZA,1.3347757690000002,103.7833642
CASA FELIZ,1.31205952,103.904402
